¹ß»ý³â¿ù, ÀçÈ°¿ëÆó±â¹°(Åæ) , À½½Ä¹°Æó±â¹°(Åæ) 
2014-01-01,924,2378
2014-02-01,927,2342
2014-03-01,963,2480
2014-04-01,951,2439
2014-05-01,1068,2630
2014-06-01,1005,2793
2014-07-01,998,3032
2014-08-01,1003,2779
2014-09-01,1068,2801
2014-10-01,1036,2661
2014-11-01,962,2775
2014-12-01,1064,2719
2015-01-01,1048,2501
2015-02-01,1049,2306
2015-03-01,1195,2547
2015-04-01,1153,2472
2015-05-01,1148,2578
2015-06-01,1175,2805
2015-07-01,1184,2872
2015-08-01,1182,2564
2015-09-01,1200,2600
2015-10-01,1272,2641
2015-11-01,1282,2795
2015-12-01,1291,2692
2016-01-01,1141,2314
2016-02-01,1309,2390
2016-03-01,1263,2440
2016-04-01,1281,2355
2016-05-01,1430,2624
2016-06-01,1314,2600
2016-07-01,1332,2699
2016-08-01,1344,2721
2016-09-01,1418,2505
2016-10-01,1369,2498
2016-11-01,1303,2563
2016-12-01,1289,2400
2017-01-01,1343,2264
2017-02-01,1265,2050
2017-03-01,1383,2232
2017-04-01,1287,2185
2017-05-01,1452,2508
2017-06-01,1350,2445
2017-07-01,1406,2665
2017-08-01,1390,2475
2017-09-01,1277,2289
2017-10-01,1338,2470
2017-11-01,1232,2495
2017-12-01,1207,2327
2018-01-01,1307,2325
2018-02-01,1227,2095
2018-03-01,1485,2345
2018-04-01,1357,2188
2018-05-01,1628,2414
2018-06-01,1539,2459
2018-07-01,1390,2694
2018-08-01,1357,2329
2018-09-01,1307,2229
2018-10-01,1381,2389
2018-11-01,1304,2458
2018-12-01,1308,2325
2019-01-01,1415,2284
2019-02-01,1324,2025
2019-03-01,1401,2164
2019-04-01,1365,2194
2019-05-01,1410,2414
2019-06-01,1285,2367
2019-07-01,1442,2650
2019-08-01,1462,2464
2019-09-01,1526,2389
2019-10-01,1447,2345
2019-11-01,1402,2380
2019-12-01,1476,2344
2020-01-01,1586,2326
2020-02-01,1488,2079
2020-03-01,1613,2173
2020-04-01,1534,2060
2020-05-01,1570,2350
2020-06-01,1497,2523
2020-07-01,1497,2534
2020-08-01,1566,2394
2020-09-01,1527,2065
2020-10-01,1396,2133
2020-11-01,1412,2284
2020-12-01,1543,1971
2021-01-01,1462,1951
2021-02-01,1355,1848
2021-03-01,1551,2043
2021-04-01,1418,1967
2021-05-01,1482,2164
2021-06-01,1418,2226
2021-07-01,1404,2317
2021-08-01,1396,2226
2021-09-01,1468,2117
2021-10-01,1389,2085
2021-11-01,1370,2295
2021-12-01,1378,2051
2022-01-01,1404,2027
2022-02-01,1277,1842
2022-03-01,1453,2063
2022-04-01,1358,1979
2022-05-01,1409,2207
2022-06-01,1365,2194
2022-07-01,1393,2267
2022-08-01,1522,2276
2022-09-01,1466,2085
2022-10-01,1407,2004
2022-11-01,1366,2203
2022-12-01,1402,2056
2023-01-01,1499,2084
2023-02-01,1322,1816
2023-03-01,1516,1967
2023-04-01,1408,1822
2023-05-01,1647,2167
2023-06-01,1477,2137
2023-07-01,1651,2271
2023-08-01,1635,2059
2023-09-01,1535,1832
2023-10-01,1643,2138
2023-11-01,1507,2503
2023-12-01,1537,1950
