행정동 명,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
광장동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117457,106384,101993,94770,103574,97791,98841,93076,99216,94229,105437,130175,136462,130598,115700,112273,122299,126991,114057,102968,108583,105019,117359,123548,141481,129576,122268,120573,123048,118136,118574,104742,113889,105110,111845,116069,129396,118044,109172,105643,116525,106311
구의제1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72379,66625,66188,61535,65880,65135,66905,60978,84748,80104,93306,101639,104584,100997,90154,88883,97584,98966,89592,81160,84877,81912,93351,98359,111976,103859,97814,92882,97245,91869,93022,83764,92423,87625,96146,99940,109913,102351,97310,88746,99023,90519
구의제3동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18
군자동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658,5146,6180,5619,6166,5745,5997,5519,6018,5577,6366,6582,7002,6693,6221,5797,6501,6343,6051,5479,5752,5506,6460,6561,7850,7264,7067,6451,6629,6262,6323,5751,6188,5716,6059,6421,7019,6388,5883,5708,6532,6352
능동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,323,304,322,302,289,279,324,441,371,458,469,466,461,469,513,629,759,683,581,716,758,789,786,790,683,575,571,758,638,614,411,602,551,597,678,716,630,591,659,611,618
자양제1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76997,71749,74457,66200,74179,71621,74564,67070,71539,67324,77694,90084,93293,90711,80596,79605,95022,93877,83332,77980,79843,77244,91990,94509,109209,100347,98819,93627,96558,91337,92447,83520,91082,106485,118014,121104,133977,126601,118265,114127,125972,118419
자양제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095
자양제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
중곡제1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5339,5645,6999,6387,7101,7190,7590,7082,7303,6860,7850,8744,8840,8913,8221,8682,10029,10159,9581,12781,9323,9122,10272,11159,12619,11498,11529,10770,11645,11082,10719,9684,10099,9815,10488,11144,12079,10776,10705,9515,11340,10617
중곡제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
중곡제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65
화양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,634,634,603,709,716,626,629,658,659,757,765,760,760,686,753,851,945,874,828,840,765,874,930,1024,977,824,826,712,876,858,731,843,673,704,787,892,879,880,954,914,1012
